tick,tick_dt,input_force,output_speed,output_ang_vel,output_angle,output_position
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.009205164038576186,0.0,-5.745948193967219e-08,7.389701513847925e-06,0.0,0.0
3.0,0.00997763394843787,0.0,3.349787992652233e-09,1.978527626622925e-08,7.373173669339178e-08,-5.733096776609258e-10
4.0,0.0099467639811337,0.0,1.9376926407610793e-09,6.515541021309651e-07,7.392853616671349e-08,-5.399901271111785e-10
5.0,0.010239371098577976,0.0,1.1314279649609789e-07,3.0030777612463253e-07,8.060004040923322e-08,-5.201493730874422e-10
6.0,0.00888840900734067,0.0,1.0207946865387583e-07,4.003345004584926e-07,8.326929875151385e-08,4.855100784041866e-10
7.0,0.010766585008241236,0.0,1.037525241998444e-07,-9.162756616357136e-07,8.7579534182432e-08,1.5845573552622374e-09
8.0,0.009881505044177175,0.0,8.861786021360595e-08,1.6365297206391107e-06,7.852535161012191e-08,2.609788446489114e-09
9.0,0.009782506967894733,0.0,8.982427418860051e-08,-8.188868054533747e-08,9.453471500544083e-08,3.4766932815086356e-09
10.0,0.00975226704031229,0.0,9.298163481571594e-08,1.6673967373814355e-07,9.373611472518387e-08,4.352683590098098e-09
11.0,0.010263203992508352,0.0,7.148435468532207e-08,2.49072948215544e-07,9.544739801040272e-08,5.306973075768707e-09
12.0,0.009723082068376243,0.0,7.59461759758083e-08,4.1535897125788014e-07,9.786915472691489e-08,6.0020213229790095e-09
13.0,0.010632587946020067,0.0,7.905184385374949e-08,7.891390049863477e-08,1.0228549551798272e-07,6.809525718205708e-09
14.0,0.009721174952574074,0.0,7.863056827275528e-08,7.767350353115833e-07,1.0305263135091998e-07,7.578002522631575e-09
15.0,0.009587175911292434,0.0,8.112434447797299e-08,-1.1815187046396123e-07,1.1049932677091607e-07,8.331847612667369e-09
16.0,0.010501977987587452,0.0,8.521701741086402e-08,2.0781533681118785e-07,1.0925849842811126e-07,9.183813692632502e-09
17.0,0.009699786081910133,0.0,8.514194941078019e-08,8.277185163932766e-07,1.1127426273971989e-07,1.0010400532056295e-08
18.0,0.009889448992908001,0.0,8.803667455026131e-08,1.592342508795038e-08,1.194599427880767e-07,1.0852407497910958e-08
19.0,0.00983911706134677,0.0,-7.955913832199745e-07,-1.588252063230016e-06,1.1961661523153461e-07,1.1718610644502667e-08
20.0,0.010646604932844639,0.0,2.0681871133360565e-07,7.600539613164644e-07,1.0270712298054926e-07,3.248263499384197e-09
21.0,0.0092434590915218,0.0,6.688188618483406e-08,8.801262003058918e-07,1.0973265067932709e-07,5.159983796957637e-09
22.0,0.010571273043751717,0.0,6.901249491156299e-08,-6.195684654198311e-07,1.1903670505572039e-07,5.867010477498644e-09
23.0,0.00956430600490421,0.0,6.007530999717319e-08,1.3418226264281298e-06,1.1311096266145621e-07,6.527067096994727e-09
24.0,0.009881060919724405,0.0,6.220013628907524e-08,-6.081085261190972e-08,1.2636959377665715e-07,7.120674894848124e-09
25.0,0.010570625076070428,0.0,-2.1469999181596534e-07,-2.536093482420416e-07,1.2572678505314048e-07,7.778169215240422e-09
26.0,0.010266333003528416,0.0,-2.0737706448167025e-07,5.789703392150311e-07,1.2312314703127988e-07,5.5739876034028955e-09
27.0,0.009736675070598722,0.0,1.011951333031565e-06,2.786710680068246e-06,1.2876039309973095e-07,3.554824509450273e-09
28.0,0.009801932028494775,0.0,9.09737590264169e-07,1.647380378096801e-06,1.5607554176884035e-07,1.3473902691970353e-08
29.0,0.009642528020776808,0.0,-2.646810216165149e-07,-1.482840187071558e-07,1.7196045322551663e-07,2.2246072897646573e-08
30.0,0.010687308968044817,0.0,-2.388610747626993e-07,-3.703665071829224e-08,1.7037569610256992e-07,1.9417345041653128e-08
31.0,0.009330217028036714,0.0,-2.5594464295825134e-07,6.271950929787252e-07,1.7003013611337667e-07,1.718871937456704e-08
32.0,0.010564033058471978,0.0,-2.517174666844953e-07,-8.244833477723341e-07,1.7665584580971533e-07,1.4484911705217267e-08
33.0,0.009647211991250515,0.0,-2.5736645159120176e-07,9.845291433632566e-07,1.687018801704997e-07,1.2056539942211401e-08
34.0,0.010610828059725463,0.0,-2.535502141258898e-07,-3.080606317490722e-07,1.7914854963051602e-07,9.325668776035503e-09
35.0,0.009559268946759403,0.0,-2.530593802063408e-07,7.592085957149484e-07,1.7620371519971804e-07,6.901914087697687e-09
36.0,0.01037709100637585,0.0,-2.4827525898433826e-07,-3.9288759486597417e-07,1.8408209189027486e-07,4.275893869279421e-09
37.0,0.009643750032410026,0.0,-2.4857178920277e-07,7.322367515160153e-07,1.8029318213455262e-07,1.8815893324026015e-09
38.0,0.009804637054912746,0.0,-2.4310253930287315e-07,1.3234214233142649e-08,1.8747249772143549e-07,-5.555668428208372e-10
39.0,0.010628013988025486,0.0,-7.316024152999092e-07,-9.449867974468987e-07,1.8761315113542584e-07,-3.1392640310562887e-09
40.0,0.009605658007785678,0.0,-6.844733227361309e-07,1.8544169809905533e-07,1.785359311372783e-07,-1.0166786630097204e-08
41.0,0.010219000978395343,0.0,-6.797866908784589e-07,-9.292415766095969e-07,1.8043096003158784e-07,-1.7161420184823236e-08
42.0,0.009600528050214052,0.0,-5.536364246592358e-07,-2.938670543244837e-09,1.7150975020992226e-07,-2.368773137876407e-08
43.0,0.010608347016386688,0.0,-4.690642758551275e-07,-2.0863120895841336e-07,1.714785757730327e-07,-2.9560898692460866e-08
44.0,0.00961269496474415,0.0,-4.747224416810459e-07,6.822496036396369e-07,1.6947306760118968e-07,-3.406987049511481e-08
45.0,0.009553306037560105,0.0,-4.69989526308478e-07,-3.621811455757558e-07,1.759908068587632e-07,-3.860503926339162e-08
46.0,0.010397312929853797,0.0,-2.2968021801679494e-07,4.551204887720605e-07,1.7222509615091914e-07,-4.3491667442174624e-08
47.0,0.00973034102935344,0.0,-2.417798765565659e-07,9.892656398794705e-07,1.766535737161173e-07,-4.5726534291174286e-08
48.0,0.011114932014606893,0.0,-2.3576812765182842e-07,2.96440054335327e-07,1.8764919404776422e-07,-4.8413901181600566e-08
49.0,0.009465622948482633,0.0,-2.3576688386011645e-07,1.4564959437334517e-06,1.9045518382893013e-07,-5.06455933812225e-08
50.0,0.00963797199074179,0.0,-2.3094765233594102e-07,-3.2419150838683943e-07,2.0449285093926217e-07,-5.2917908004210774e-08
51.0,0.010230926098302007,0.0,-8.254194673015606e-07,-8.125727735556984e-07,2.0117607157525935e-07,-5.5280716367836133e-08
52.0,0.009730247897095978,0.0,-7.401443062525433e-07,2.405741413810531e-07,1.9326953705413157e-07,-6.331225240376923e-08
53.0,0.009607361978851259,0.0,-4.3339544208845585e-07,2.0572886039834263e-07,1.9558081991313067e-07,-7.042308667052316e-08
54.0,0.010643790010362864,0.0,-2.8500510796171403e-07,5.54043366426636e-07,1.977705547022819e-07,-7.503605674756105e-08
55.0,0.009641434997320175,0.0,-2.928107254688899e-07,1.3013179662802717e-06,2.0311232780538076e-07,-7.778391496987813e-08
56.0,0.01033738802652806,0.0,-2.8642438665347244e-07,2.0850842835838098e-07,2.1656455656871228e-07,-8.081081305737923e-08
57.0,0.00979589601047337,0.0,-2.8422532103599834e-07,1.1739639331798857e-06,2.186070834502182e-07,-8.361659656390026e-08
58.0,0.009751156088896096,0.0,-2.6296750104174096e-07,7.326317723169966e-07,2.3005458900538967e-07,-8.638812203373888e-08
59.0,0.010615364997647703,0.0,-1.4016608473544888e-07,1.07199241083383e-06,2.3783174267740811e-07,-8.917961803981627e-08
60.0,0.009637435083277524,0.0,-1.4447909361441533e-07,1.575434485048693e-06,2.481629999465853e-07,-9.053045958233133e-08
61.0,0.010260666022077203,0.0,-1.3589883894618277e-07,6.616348376033285e-07,2.6432800703733314e-07,-9.201291130908128e-08
62.0,0.009675119072198868,0.0,-1.312493562742334e-07,1.5538095118108457e-06,2.707294028734603e-07,-9.332774875765917e-08
63.0,0.009628194035030901,0.0,-1.2167180127865515e-07,1.1524790657535385e-06,2.856897823466518e-07,-9.459144302684038e-08
64.0,0.010688567999750376,0.0,-8.989886049908666e-08,1.3946499970061833e-06,2.9800813320924727e-07,-9.589194034845939e-08
